"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,59,,
"DEU","Germany","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,59.7,,
"DEU","Germany","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,61.2,,
"DEU","Germany","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,62.8,,
"DEU","Germany","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,54.7,,
"DEU","Germany","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,58,,
"DEU","Germany","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,76.1,,
"DEU","Germany","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,77,,
"DEU","Germany","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,77.5,,
"DEU","Germany","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,78.3,,
"DEU","Germany","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,79.1,,
"DEU","Germany","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,83.6,,
"DEU","Germany","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,75.5,,
"DEU","Germany","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,76.8,,
"DEU","Germany","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,78.1,,
"DEU","Germany","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,78.1,,
"DEU","Germany","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,78.6,,
"DEU","Germany","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,79.5,,
"DEU","Germany","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,80,,
"DEU","Germany","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,91.4,,
"DEU","Germany","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,78,,
"DEU","Germany","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,78.7,,
"GRC","Greece","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,55.3,,
"GRC","Greece","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,56.5,,
"GRC","Greece","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,55.5,,
"GRC","Greece","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,55.4,,
"GRC","Greece","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,55.5,,
"GRC","Greece","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,50.6,,
"GRC","Greece","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,54.9,,
"GRC","Greece","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,60.9,,
"GRC","Greece","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,57.9,,
"GRC","Greece","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,60.6,,
"GRC","Greece","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,57.3,,
"GRC","Greece","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,54.8,,
"GRC","Greece","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,56.2,,
